r                 r.lo     r.hi     kT              kT.lo            kT.hi
4.4530756652004   4.1984   4.7232   5.72628245416   5.68684533897    5.7671104552596
4.9786899481691   4.7232   5.248    5.814545631555  5.7747121755184  5.85600252704
5.50414883519696  5.248    5.7728   5.90953841939   5.85621395652    5.96215392971
6.02949295380632  5.7728   6.2976   6.30555613979   6.24882335681    6.35956737689
6.80218543704889  6.2976   7.3472   6.830778375905  6.76769267466    6.9145022122528
7.85448718631586  7.3472   8.3968   7.309425212135  7.20255141883    7.40940881896
8.9061513304008   8.3968   9.4464   7.93995523474   7.78808751317    8.0909347877032
9.95737989633819  9.4464   10.496   8.0441799369    7.84027367934    8.2455129324
11.0082976703939  10.496   11.5456  8.43790920508   8.17654437974    8.7647191253728
13.025193458832   11.5456  14.6944  8.80368784359   8.31674185758    9.38558686519
20.4065563111467  18.8928  22.0416  7.52713459043   7.00607457593    8.0549419966936
23.5634615589476  22.0416  25.1904  7.53199551666   7.1497718107052  7.9110950374032
27.2087417481956  25.1904  29.3888  6.25108386072   6.0143106173352  6.4783013890992
31.4179487452634  29.3888  33.5872  6.2576410825    5.95821217221    6.557236002536
35.6246053216032  33.5872  37.7856  5.3953545731    5.14240610137    5.6966179967272
39.8295195853528  37.7856  41.984   4.82744800781   4.5376927299012  5.1202818795944
52.6895018310099  41.984   66.1248  6.37962472083   5.6829302299124  7.17404050219
