r                 r.lo     r.hi     kT             kT.lo            kT.hi
5.50414883519696  5.248    5.7728   6.28026101877  6.16155353195    6.390288944844
6.02949295380632  5.7728   6.2976   5.90676043321  5.80955467193    6.00620420522
6.80218543704889  6.2976   7.3472   6.27160424364  6.1965326022472  6.34747362511
7.85448718631586  7.3472   8.3968   6.00489844465  5.95851220128    6.05290290673
8.9061513304008   8.3968   9.4464   6.1397475616   6.10577358305    6.17260780737
9.95737989633819  9.4464   10.496   6.13179274689  6.0955603803236  6.16923780984
11.0082976703939  10.496   11.5456  6.12201496084  6.08049970973    6.1611911324984
12.0589859076126  11.5456  12.5952  5.87355588404  5.82681914306    5.919708114784
13.1094997982379  12.5952  13.6448  5.90153567806  5.8542200951904  5.95358497007
14.1598781463684  13.6448  14.6944  5.86445651601  5.80912191851    5.91595968357
15.2101490328004  14.6944  15.744   5.84874715813  5.77381174406    5.92080307184
16.2603332807172  15.744   16.7936  5.81075640318  5.6794219713832  5.9503327709652
17.3104466585932  16.7936  17.8432  5.82770667037  5.69511263374    5.96310647477
18.3605013264889  17.8432  18.8928  5.66737609739  5.5172490892528  5.81004038214
19.4105068125487  18.8928  19.9424  5.69463127262  5.5213670667556  5.8540765180008
20.460470688623   19.9424  20.992   5.51317960506  5.3581451560952  5.6692989872
21.5103990479024  20.992   22.0416  5.27867383761  5.1493394612212  5.42838668888
22.5602968491108  22.0416  23.0912  5.76335839128  5.55758632663    5.98255348438
24.1179718152253  23.0912  25.1904  5.44614452448  5.25283755239    5.65504517679
26.2189995964758  25.1904  27.2896  5.32786122817  4.96872601643    5.7594999686208
30.275092949816   27.2896  33.5872  6.09288132231  5.70768498126    6.54015924405
47.1269231178951  33.5872  66.1248  6.76786797736  6.01173607368    7.60529262924
