r                 r.lo     r.hi     kT              kT.lo            kT.hi
4.4530756652004   4.1984   4.7232   6.41822849473   6.37434705156    6.46249516015
4.9786899481691   4.7232   5.248    7.19685031643   7.08758965243    7.30353572745
5.50414883519696  5.248    5.7728   7.1344081214    6.982925768218   7.30095241196
6.02949295380632  5.7728   6.2976   7.03841954633   6.79186140492    7.29966797426
6.80218543704889  6.2976   7.3472   7.34894631948   7.07699310518    7.60647334005
7.85448718631586  7.3472   8.3968   7.82316994933   7.6327985415732  8.0247186903436
8.9061513304008   8.3968   9.4464   7.79678323324   7.61559474604    7.97468518753
9.95737989633819  9.4464   10.496   7.653429101485  7.48225591562    7.81453252953
11.0082976703939  10.496   11.5456  7.742637093635  7.57134537513    7.91215505773
12.0589859076126  11.5456  12.5952  7.957116302915  7.7832191619328  8.1267462811204
13.1094997982379  12.5952  13.6448  7.834406849755  7.6332325738424  8.04044624136
14.1598781463684  13.6448  14.6944  7.318248772855  7.06831275799    7.59344719246
15.7089743726317  14.6944  16.7936  7.851539301615  7.47366551902    8.20645050437
22.2158446087472  16.7936  29.3888  7.51292496199   6.94950090318    8.10761740678
44.0832           29.3888  66.1248  7.3191773425    6.4673956716136  8.48625693031
