r                 r.low       r.high      nHfac             nHfac.err
8.09685913405143  5.725344    11.450688   1.56897247940208  0.0522495750487687
14.0241714019052  11.450688   17.176032   1.57724499955982  0.0889965449595666
19.8331733976192  17.176032   22.901376   1.54657416222455  0.062402159632422
25.6045167571411  22.901376   28.62672    1.5301160403179   0.0529520379353401
31.3590005827686  28.62672    34.352064   1.48445602053171  0.0604854366741579
37.1044698731853  34.352064   40.077408   1.45177884161636  0.0450517401704021
42.8445513388437  40.077408   45.802752   1.4177300471687   0.0418144326752803
51.2090335142822  45.802752   57.25344    1.39701469816269  0.0343017198823781
62.7180011655372  57.25344    68.704128   1.34673434131281  0.0706692589122275
79.332693590477   68.704128   91.605504   1.31081791727313  0.05252235135347
97.1623096086171  91.605504   103.056192  1.33168624534897  0.0638541932351222
108.630764567874  103.056192  114.50688   1.29737545323455  0.0564466564957596
120.095828920358  114.50688   125.957568  1.31016934439239  0.0672010883838775
131.558389123922  125.957568  137.408256  1.33702766316385  0.12634854516701
158.665387180954  137.408256  183.211008  1.36392909541186  0.19410147789028
194.324619217234  183.211008  206.112384  1.39937965695167  0.180572946292561
217.261529135749  206.112384  229.01376   1.44439132168146  0.193262479727558
240.191657840716  229.01376   251.915136  1.44350462473548  0.238941354629629
273.860625583805  251.915136  297.717888  1.39036094684395  0.27154163102809
308.956453452901  297.717888  320.619264  1.41479762036679  0.326776698753943
331.872467622141  320.619264  343.52064   1.42417935427959  0.265333596448523
354.786591412937  343.52064   366.422016  1.4058936359709   0.412387093872292
377.699168879941  366.422016  389.323392  1.53353567077422  0.581005159143832
411.588127051741  389.323392  435.126144  1.47354581633627  0.660790092112775
446.430004170287  435.126144  458.02752   1.45250278790668  0.761816430334862
480.383315681431  458.02752   503.830272  1.5917756920537   0.549031629507515
526.23355649569   503.830272  549.633024  1.6859264649405   0.30871847189216
572.076189122277  549.633024  595.435776  1.37511908296134  0.759618653170417
639.600623593218  595.435776  687.04128   1.60875283686178  0.740859649956101
